Family,PartNumber,Keyboard,Notes
YogaGen4,20QGS4K700,en-GB,testing only
L13Gen1,20R4S37W00,en-GB,testing only
YogaGen5,20UCS0JP08,de-DE,
YogaGen5,20UCS0JP00,en-GB,
YogaGen6,20Y0S21H0Y,en-US,
YogaGen6,20Y0S21H0J,en-US,
YogaGen6,20Y0S21H0U,en-US,
YogaGen6,20Y0S21H0T,en-US,
YogaGen6,20Y0S21H0G,en-US,
YogaGen6,20Y0S21H0H,en-US,
YogaGen6,20Y0S21H0N,en-US,
YogaGen6,20Y0S21H00,en-US,
YogaGen6,20Y0S21H0R,en-GB,
YogaGen6,20Y0S21H0X,en-GB,
YogaGen6,20Y0S21H0E,en-GB,
YogaGen6,20Y0S21H0F,0409:00020409,
YogaGen6,20Y0S21H0A,0409:00020409,
YogaGen6,20Y0S21H05,0409:00020409,
YogaGen6,20Y0S21H06,de-DE,
YogaGen6,20Y0S21H08,de-DE,
YogaGen6,20Y0S21H0C,ar-AE,
YogaGen6,20Y0S21H07,0809:00000813,
YogaGen6,20Y0S21H0W,pt-BR,
YogaGen6,20Y0S21H0Z,pt-BR,
YogaGen6,20Y0S21H0V,fr-FR,
YogaGen6,20Y0S21H03,fr-FR,
YogaGen6,20Y0S21H0D,fr-CH,
YogaGen6,20Y0S21H09,it-IT,
YogaGen6,20Y0S21H02,ja-JP,
YogaGen6,20Y0S21H0Q,ja-JP,
YogaGen6,20Y0S21H0P,ja-JP,
YogaGen6,20Y0S21H04,pt-PT,
YogaGen6,20Y0S21H0L,ru-RU,
YogaGen6,20Y0S21H0S,ru-RU,
YogaGen6,20Y0S21H0M,es-ES,
YogaGen6,20Y0S21H0K,sv-SE,
YogaGen6,20Y0S4Q001,th-TH,
YogaGen6,20Y0S4Q003,th-TH,
YogaGen7,21CES06A05,pt-BR,
YogaGen7,21CES06A0R,pt-BR,
YogaGen7,21CES06A0Q,ar-AE,
YogaGen7,21CES06A0M,ar-AE,
YogaGen7,21CES06A0X,ja-JP,
YogaGen7,21CES06A0E,ja-JP,
YogaGen7,21CES06A07,ja-JP,
YogaGen7,21CES06A0Z,ru-RU,
YogaGen7,21CES06A03,ru-RU,
YogaGen7,21CES06A0A,0809:00000813,
YogaGen7,21CES06A0U,en-US,
YogaGen7,21CES06A0V,en-US,
YogaGen7,21CES06A0T,en-US,
YogaGen7,21CES06A0Y,en-US,
YogaGen7,21CES06A0N,en-US,
YogaGen7,21CES06A06,en-US,
YogaGen7,21CES06A04,en-US,
YogaGen7,21CES06A0L,en-US,
YogaGen7,21CES06A0F,en-US,
YogaGen7,21CES06A0S,en-US,
YogaGen7,21CES06A10,en-US,
YogaGen7,21CES06A11,en-US,
YogaGen7,21CES3VA01,en-US,
YogaGen7,21CES06A0K,nl-NL,
YogaGen7,21CES06A09,pl-PL,
YogaGen7,21CES06A0J,fr-FR,
YogaGen7,21CES06A0G,fr-FR,
YogaGen7,21CES06A0D,de-DE,
YogaGen7,21CES06A0C,de-DE,
YogaGen7,21CES06A0P,it-IT,
YogaGen7,21CES06A02,pt-PT,
YogaGen7,21CES06A01,es-ES,
YogaGen7,21CES06A0B,sv-SE,
YogaGen7,21CES3VA00,en-GB,with privacy guard
YogaGen7,21CES06A00,en-GB,
YogaGen7,21CES06A0H,en-GB,
YogaGen7,21CES06A08,fr-CH,
YogaGen8,21HRS0AY05,pt-BR,
YogaGen8,21HRS0AY0R,pt-BR,
YogaGen8,21HRS0AY0L,ar-AE,
YogaGen8,21HRS0AY0Q,ar-AE,
YogaGen8,21HRS0AY0E,ja-JP,
YogaGen8,21HRS0AY07,ja-JP,
YogaGen8,21HRS0AY03,ru-RU,
YogaGen8,21HRS0AY0W,ru-RU,
YogaGen8,21HRS0AY0A,nl-BE,
YogaGen8,21HRS0AY04,en-US,
YogaGen8,21HRS0AY0X,en-US,
YogaGen8,21HRS0AY0M,en-US,
YogaGen8,21HRS0AY0S,en-US,
YogaGen8,21HRS0AY0U,en-US,
YogaGen8,21HRS0AY0T,en-US,
YogaGen8,21HRS0AY06,en-US,
YogaGen8,21HRS0AY0F,en-US,
YogaGen8,21HRS0AY09,0809:00000415,
YogaGen8,21HRS22T01,0809:00000415,
YogaGen8,21HRS0AY0G,fr-FR,
YogaGen8,21HRS0AY0J,fr-FR,
YogaGen8,21HRS0AY0C,de-DE,
YogaGen8,21HRS0AY0D,de-DE,
YogaGen8,21HRS0AY0N,it-IT,
YogaGen8,21HRS0AY0V,0809:00004009,
YogaGen8,21HRS0AY02,pt-PT,
YogaGen8,21HRS0AY01,es-ES,
YogaGen8,21HRS0AY0P,sv-SE,
YogaGen8,21HRS0AY0B,sv-SE,
YogaGen8,21HRS0AY00,en-GB,
YogaGen8,21HRS0AY0K,en-GB,
YogaGen8,21HRS0AY0H,en-GB,
YogaGen8,21HRS22T00,en-GB,
YogaGen8,21HRS22T02,pl-PL,
YogaGen8,21HRS0AY08,fr-CH,
YogaGen9,21KFS0W10E,en-AU,
YogaGen9,21KFS0W102,nl-BE,
YogaGen9,21KFS0W10J,pt-BR,
YogaGen9,21KFS0W10R,pt-BR,
YogaGen9,21KFS0W108,fr-FR,
YogaGen9,21KFS0W105,de-DE,
YogaGen9,21KFS0W107,en-HK,
YogaGen9,21KFS0W10S,en-HK,
YogaGen9,21KFS0W10T,en-HK,
YogaGen9,21KFS0W10U,3C09:{A028AE76-01B1-46C2-99C4-ACD9858AE02F}{B5FE1F02-D5F2-4445-9C03-C568F23C99A1},
YogaGen9,21KFS0W10W,en-IN,
YogaGen9,21KFS0W10V,id-ID,
YogaGen9,21KFS0W10F,it-IT,
YogaGen9,21KFS0W106,ja-JP,
YogaGen9,21KFS0W10L,ja-JP,
YogaGen9,21KFS0W10Y,ja-JP,
YogaGen9,21KFS0W10K,0411:00000409,
YogaGen9,21KFS0W10X,0411:00000409,
YogaGen9,21KFS0W10Z,ko-KR,
YogaGen9,21KFS0W104,de-LU,
YogaGen9,21KFS0W10A,140C:0000040C,
YogaGen9,21KFS0W10M,fr-CH,
YogaGen9,21KFS0W100,en-GB,
YogaGen9,21KFS0W10B,en-GB,
YogaGen9,21KFS0W10N,0415:00020409,
YogaGen9,21KFS0W10C,pt-PT,
YogaGen9,21KFS0W110,en-SG,
YogaGen9,21KFS0W101,es-ES,
YogaGen9,21KFS0W103,sv-SE,
YogaGen9,21KFS0W10G,sv-SE,
YogaGen9,21KFS0W10D,ar-AE,
YogaGen9,21KFS0W10P,ar-AE,
YogaGen9,21KFS0W109,3801:00000809,
YogaGen9,21KFS0W10Q,3801:00000809,
YogaGen9,21KFS0W10H,en-US,
YogaGen9,21KFS0W111,en-US,
P1Gen4,20Y4S3M000,en-GB,
P1Gen4,20Y4S3M00J,en-US,
P1Gen4,20Y4S3M006,en-US,
P1Gen4,20Y4S3M00F,en-US,
L13Gen2,20VJS2P70E,en-GB,
L13Gen2,20VJS2P70U,en-GB,
L13Gen2,20VJS2P70R,en-GB,
L13Gen2,20VJS2P70X,en-GB,
L13Gen2,20VJS2P70V,en-US,
L13Gen2,20VJS2P70K,en-US,
L13Gen2,20VJS2P70N,en-US,
L13Gen2,20VJS2P707,en-US,
L13Gen2,20VJS2P709,en-US,
L13Gen2,20VJS2P706,en-US,
L13Gen2,20VJS2P70Y,en-US,
L13Gen2,20VJS2P70S,en-US,
L13Gen2,20VJS2P70B,en-US,
L13Gen2,20VJS2P70T,en-US,
L13Gen2,20VJS2P708,0409:00020409,
L13Gen2,20VJS2P700,0409:00020409,
L13Gen2,20VJS2P70Q,de-DE,
L13Gen2,20VJS2P70C,de-DE,
L13Gen2,20VJS2P710,ar-AE,
L13Gen2,20VJS2P701,ar-AE,
L13Gen2,20VJS2P70H,0809:00000813,
L13Gen2,20VJS2P70J,fr-FR,
L13Gen2,20VJS2P703,fr-FR,
L13Gen2,20VJS2P70W,it-IT,
L13Gen2,20VJS2P711,ko-KR,
L13Gen2,20VJS2P70F,ja-JP,
L13Gen2,20VJS2P70L,ja-JP,
L13Gen2,20VJS2P70D,ja-JP,
L13Gen2,20VJS2P70P,pt-PT,
L13Gen2,20VJS2P70A,ru-RU,
L13Gen2,20VJS2P702,ru-RU,
L13Gen2,20VJS2P705,es-ES,
L13Gen2,20VJS2P70M,th-TH,
L13Gen2,20VJS2P704,th-TH,
L13Gen3,21B4S0220N,ar-AE,
L13Gen3,21B4S0220R,ar-AE,
L13Gen3,21B4S0220E,ja-JP,
L13Gen3,21B4S0220W,ja-JP,
L13Gen3,21B4S02207,ja-JP,
L13Gen3,21B4S0220Y,ru-RU,
L13Gen3,21B4S02204,ru-RU,
L13Gen3,21B4S0220A,0809:00000813,
L13Gen3,21B4S0220V,en-US,
L13Gen3,21B4S0220P,en-US,
L13Gen3,21B4S0220M,en-US,
L13Gen3,21B4S0220U,en-US,
L13Gen3,21B4S0220F,en-US,
L13Gen3,21B4S0220T,en-US,
L13Gen3,21B4S02205,en-US,
L13Gen3,21B4S0220Z,en-US,
L13Gen3,21B4S02206,en-US,
L13Gen3,21B4S0220S,en-US,
L13Gen3,21B4S02212,en-US,
L13Gen3,21B4S0220X,en-US,
L13Gen3,21B4S0220L,nl-NL,
L13Gen3,21B4S02209,pl-PL,
L13Gen3,21B4S0220G,fr-FR,
L13Gen3,21B4S0220K,fr-FR,
L13Gen3,21B4S0220C,de-DE,
L13Gen3,21B4S0220D,de-DE,
L13Gen3,21B4S0220Q,it-IT,
L13Gen3,21B4S02202,pt-PT,
L13Gen3,21B4S02201,es-ES,
L13Gen3,21B4S0220B,sv-SE,
L13Gen3,21B4S02200,en-GB,
L13Gen3,21B4S0220J,en-GB,
L13Gen3,21B4S02208,fr-CH,
L13Gen3,21B4S0220H,th-TH,
L13Gen3,21B4S02211,th-TH,
L13Gen3,21B4S02203,th-TH,
L13Gen3,21B4S02210,th-TH,
L13Gen4,21FHS05S0R,ar-AE,
L13Gen4,21FHS05S0N,ar-AE,
L13Gen4,21FHS05S07,ja-JP,
L13Gen4,21FHS05S0E,ja-JP,
L13Gen4,21FHS05S04,ru-RU,
L13Gen4,21FHS05S0V,ru-RU,
L13Gen4,21FHS05S0A,nl-BE,
L13Gen4,21FHS05S0P,en-US,
L13Gen4,21FHS05S0U,en-US,
L13Gen4,21FHS05S0S,en-US,
L13Gen4,21FHS05S06,en-US,
L13Gen4,21FHS05S0T,en-US,
L13Gen4,21FHS05S05,en-US,
L13Gen4,21FHS05S0W,en-US,
L13Gen4,21FHS05S0M,en-US,
L13Gen4,21FHS05S0Z,en-US,
L13Gen4,21FHS05S0F,en-US,
L13Gen4,21FHS05S0L,en-US,
L13Gen4,21FHS05S0G,fr-FR,
L13Gen4,21FHS05S0K,fr-LU,
L13Gen4,21FHS05S0D,de-DE,
L13Gen4,21FHS05S0C,de-LU,
L13Gen4,21FHS05S09,0415:00000409,
L13Gen4,21FHS05S0Q,it-IT,
L13Gen4,21FHS05S02,pt-PT,
L13Gen4,21FHS05S01,es-ES,
L13Gen4,21FHS05S0B,sv-SE,
L13Gen4,21FHS05S00,en-GB,
L13Gen4,21FHS05S0J,en-GB,
L13Gen4,21FHS05S08,fr-CH,
L13Gen4,21FHS05S03,th-TH,
L13Gen4,21FHS05S0H,th-TH,
L13Gen4,21FHS05S0Y,th-TH,
L13Gen4,21FHS05S0X,th-TH,
L13Gen5,21LCS0B40E,0809:00000409,
L13Gen5,21LCS0B407,0809:00000409,
